 ;;;;;;;;;;;;;;;;;;;;;;;;;
Mathematics, Grade 8, All students;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Data Table 1;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Average scale scores for grade 8 mathematics, by all students [TOTAL] and jurisdiction: 2024, 2022, 2019, 2017, 2015, 2013, 2011, 2009, 2007, 2005, 2003, 2000, 1996, 1992, and 1990;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Year;Jurisdiction;All students;Average scale score;;;;;;;;;;;;;;;;;;;;;;
2024;National;All students;274;;;;;;;;;;;;;;;;;;;;;;
2022;National;All students;274;;;;;;;;;;;;;;;;;;;;;;
2019;National;All students;282;;;;;;;;;;;;;;;;;;;;;;
2017;National;All students;283;;;;;;;;;;;;;;;;;;;;;;
2015;National;All students;282;;;;;;;;;;;;;;;;;;;;;;
2013;National;All students;285;;;;;;;;;;;;;;;;;;;;;;
2011;National;All students;284;;;;;;;;;;;;;;;;;;;;;;
2009;National;All students;283;;;;;;;;;;;;;;;;;;;;;;
2007;National;All students;281;;;;;;;;;;;;;;;;;;;;;;
2005;National;All students;279;;;;;;;;;;;;;;;;;;;;;;
2003;National;All students;278;;;;;;;;;;;;;;;;;;;;;;
2000;National;All students;273;;;;;;;;;;;;;;;;;;;;;;
2000_;National;All students;275;;;;;;;;;;;;;;;;;;;;;;
1996;National;All students;270;;;;;;;;;;;;;;;;;;;;;;
1996_;National;All students;272;;;;;;;;;;;;;;;;;;;;;;
1992_;National;All students;268;;;;;;;;;;;;;;;;;;;;;;
1990_;National;All students;263;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
_ Accommodations were not permitted for this assessment.;;;;;;;;;;;;;;;;;;;;;;;;;
NOTE: Some apparent differences between estimates may not be statistically significant.;;;;;;;;;;;;;;;;;;;;;;;;;
SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 1990, 1992, 1996, 2000, 2003, 2005, 2007, 2009, 2011, 2013, 2015, 2017, 2019, 2022, and 2024 Mathematics Assessments.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
